2048 2 64 64 2 2	64.2883 0.00536334 0.000990298 371
2048 2 64 64 2.02449 1.97551	64.5921 0.044027 0.000991816 1307
2048 2 64 64 2.04898 1.95102	63.5008 0.0165321 0.000999593 1373
2048 2 64 64 2.07347 1.92653	64.2077 0.00576768 0.000996641 1240
2048 2 64 64 2.09796 1.90204	64.9944 0.0174078 0.000999246 1008
2048 2 64 64 2.12245 1.87755	64.9303 0.00801559 0.000999069 1462
2048 2 64 64 2.14694 1.85306	64.6818 0.104447 0.00099928 1122
2048 2 64 64 2.17143 1.82857	64.8601 0.0122821 0.000995501 940
2048 2 64 64 2.19592 1.80408	64.9081 0.00818571 0.000999861 758
2048 2 64 64 2.22041 1.77959	64.4334 0.00178973 0.000993326 770
2048 2 64 64 2.2449 1.7551	65.4229 0.0076035 0.000997294 882
2048 2 64 64 2.26939 1.73061	64.8713 0.00346318 0.000986079 475
2048 2 64 64 2.29388 1.70612	65.632 0.49689 0.000998688 4170
2048 2 64 64 2.31837 1.68163	66.0631 0.534425 0.000993067 260
2048 2 64 64 2.34286 1.65714	69.2491 0.641168 0.000984926 127
2048 2 64 64 2.36735 1.63265	70.0223 0.690094 0.000976024 109
2048 2 64 64 2.39184 1.60816	71.6331 0.719214 0.000959061 85
2048 2 64 64 2.41633 1.58367	74.3294 0.783972 0.000943103 83
2048 2 64 64 2.44082 1.55918	77.0689 0.814401 0.000915354 35
2048 2 64 64 2.46531 1.53469	76.9786 0.811313 0.000924897 36
2048 2 64 64 2.4898 1.5102	79.9685 0.840842 0.000840044 34
2048 2 64 64 2.51429 1.48571	82.7888 0.856885 0.000929256 31
2048 2 64 64 2.53878 1.46122	85.7739 0.870301 0.000863596 29
2048 2 64 64 2.56327 1.43673	88.2436 0.882459 0.000993583 30
2048 2 64 64 2.58776 1.41224	90.6352 0.89429 0.000889724 26
2048 2 64 64 2.61224 1.38776	92.2394 0.898292 0.000930507 23
2048 2 64 64 2.63673 1.36327	95.9819 0.908928 0.000916985 23
2048 2 64 64 2.66122 1.33878	97.6338 0.91351 0.000933324 30
2048 2 64 64 2.68571 1.31429	102.317 0.91904 0.000913758 15
2048 2 64 64 2.7102 1.2898	102.998 0.923867 0.000814547 16
2048 2 64 64 2.73469 1.26531	107.666 0.927796 0.000964119 19
2048 2 64 64 2.75918 1.24082	107.843 0.93182 0.000964134 18
2048 2 64 64 2.78367 1.21633	112.822 0.935862 0.000653482 17
2048 2 64 64 2.80816 1.19184	116.979 0.938566 0.000654079 13
2048 2 64 64 2.83265 1.16735	117.322 0.943056 0.000922432 13
2048 2 64 64 2.85714 1.14286	120.253 0.943723 0.000662874 13
2048 2 64 64 2.88163 1.11837	124.125 0.946628 0.00050251 13
2048 2 64 64 2.90612 1.09388	126.986 0.949 0.000653202 19
2048 2 64 64 2.93061 1.06939	130.246 0.950708 0.000711914 13
2048 2 64 64 2.9551 1.0449	131.261 0.952907 0.000797813 13
2048 2 64 64 2.97959 1.02041	135.448 0.953852 0.000752319 17
2048 2 64 64 3.00408 0.995918	136.644 0.956427 0.000640901 16
2048 2 64 64 3.02857 0.971429	138.693 0.957994 0.000815559 12
2048 2 64 64 3.05306 0.946939	146.457 0.961999 0.000589796 13
2048 2 64 64 3.07755 0.922449	146.94 0.962727 0.000720805 15
2048 2 64 64 3.10204 0.897959	151.831 0.963509 0.000802705 11
2048 2 64 64 3.12653 0.873469	155.891 0.964468 0.000692281 10
2048 2 64 64 3.15102 0.84898	158.435 0.966063 0.000720397 13
