2048 3 64 64 2 2	54.6558 0.017537 0.000993155 972
2048 3 64 64 2.02449 1.97551	55.0228 0.0173037 0.000999599 12710
2048 3 64 64 2.04898 1.95102	55.3121 0.0109347 0.000998673 1324
2048 3 64 64 2.07347 1.92653	55.5668 0.00204398 0.000996207 721
2048 3 64 64 2.09796 1.90204	54.7617 0.00669674 0.000995766 1695
2048 3 64 64 2.12245 1.87755	55.4343 0.023663 0.000996641 1653
2048 3 64 64 2.14694 1.85306	55.3784 0.0573902 0.00099648 1089
2048 3 64 64 2.17143 1.82857	55.4 0.0182814 0.000996841 1071
2048 3 64 64 2.19592 1.80408	55.2163 0.014457 0.000991926 539
2048 3 64 64 2.22041 1.77959	55.4511 0.00917048 0.00335202 100000
2048 3 64 64 2.2449 1.7551	56.2226 0.495185 0.000991716 388
2048 3 64 64 2.26939 1.73061	56.9434 0.575158 0.000999292 431
2048 3 64 64 2.29388 1.70612	58.4697 0.624972 0.000975988 109
2048 3 64 64 2.31837 1.68163	60.4567 0.705545 0.000995863 95
2048 3 64 64 2.34286 1.65714	61.8912 0.751225 0.000960038 65
2048 3 64 64 2.36735 1.63265	63.1706 0.79692 0.000980264 53
2048 3 64 64 2.39184 1.60816	65.7313 0.821671 0.000966291 39
2048 3 64 64 2.41633 1.58367	67.999 0.826281 0.00086407 33
2048 3 64 64 2.44082 1.55918	71.1276 0.860171 0.000888343 26
2048 3 64 64 2.46531 1.53469	74.9438 0.876721 0.000791115 27
2048 3 64 64 2.4898 1.5102	76.708 0.880673 0.000800858 23
2048 3 64 64 2.51429 1.48571	77.0525 0.888647 0.000933458 31
2048 3 64 64 2.53878 1.46122	79.9178 0.901684 0.000764633 23
2048 3 64 64 2.56327 1.43673	83.6752 0.915567 0.000869669 19
2048 3 64 64 2.58776 1.41224	86.5471 0.919647 0.000960363 15
2048 3 64 64 2.61224 1.38776	88.9809 0.923306 0.000541807 18
2048 3 64 64 2.63673 1.36327	92.2896 0.926586 0.000977379 16
2048 3 64 64 2.66122 1.33878	96.1318 0.933744 0.00057381 19
2048 3 64 64 2.68571 1.31429	98.8092 0.939039 0.000812041 15
2048 3 64 64 2.7102 1.2898	100.457 0.940964 0.00085572 14
2048 3 64 64 2.73469 1.26531	102.654 0.943088 0.000641146 15
2048 3 64 64 2.75918 1.24082	106.239 0.944214 0.000821485 16
2048 3 64 64 2.78367 1.21633	110.765 0.950129 0.000608252 14
2048 3 64 64 2.80816 1.19184	114.104 0.952052 0.000989305 17
2048 3 64 64 2.83265 1.16735	115.909 0.953915 0.000622821 14
2048 3 64 64 2.85714 1.14286	117.237 0.954189 0.00073008 13
