2048 0 64 64 2 2	43.7323 0.0123435 0.000991274 606
2048 0 64 64 2.02449 1.97551	43.8076 0.00604846 0.000996433 1132
2048 0 64 64 2.04898 1.95102	43.6948 0.0148746 0.000999182 1279
2048 0 64 64 2.07347 1.92653	43.6942 0.00917037 0.000996643 593
2048 0 64 64 2.09796 1.90204	44.1001 0.0249362 0.000983792 409
2048 0 64 64 2.12245 1.87755	43.6769 0.00212039 0.000990183 1302
2048 0 64 64 2.14694 1.85306	44.1546 0.0159883 0.000997918 522
2048 0 64 64 2.17143 1.82857	44.1475 0.282036 0.000999857 22620
2048 0 64 64 2.19592 1.80408	44.4916 0.000770203 0.000990121 266
2048 0 64 64 2.22041 1.77959	45.6703 0.61524 0.000997209 116
2048 0 64 64 2.2449 1.7551	46.7854 0.724803 0.000955184 108
2048 0 64 64 2.26939 1.73061	49.0521 0.774967 0.000931342 66
2048 0 64 64 2.29388 1.70612	50.9541 0.792447 0.000855462 53
2048 0 64 64 2.31837 1.68163	53.2257 0.84247 0.000900002 44
2048 0 64 64 2.34286 1.65714	55.0026 0.854101 0.000869755 32
2048 0 64 64 2.36735 1.63265	56.7845 0.870516 0.00090929 23
2048 0 64 64 2.39184 1.60816	60.4754 0.888672 0.000859207 24
2048 0 64 64 2.41633 1.58367	63.141 0.90741 0.000792406 21
2048 0 64 64 2.44082 1.55918	65.6253 0.913533 0.00061014 19
2048 0 64 64 2.46531 1.53469	68.5997 0.925204 0.000677178 15
2048 0 64 64 2.4898 1.5102	70.798 0.928816 0.000837019 15
2048 0 64 64 2.51429 1.48571	74.1377 0.934825 0.000612753 15
2048 0 64 64 2.53878 1.46122	75.8259 0.944287 0.000674046 20
2048 0 64 64 2.56327 1.43673	78.2803 0.946792 0.000534133 14
2048 0 64 64 2.58776 1.41224	81.9727 0.949027 0.00062613 14
2048 0 64 64 2.61224 1.38776	85.8432 0.954375 0.000511971 14
2048 0 64 64 2.63673 1.36327	87.3992 0.959694 0.000562848 11
2048 0 64 64 2.66122 1.33878	91.0212 0.959362 0.000679596 12
2048 0 64 64 2.68571 1.31429	95.0633 0.963421 0.000926476 9
2048 0 64 64 2.7102 1.2898	96.3179 0.966178 0.00094706 10
2048 0 64 64 2.73469 1.26531	99.1785 0.967806 0.000475828 12
2048 0 64 64 2.75918 1.24082	102.845 0.968631 0.000665552 9
2048 0 64 64 2.78367 1.21633	105.581 0.971912 0.000630822 9
2048 0 64 64 2.80816 1.19184	108.721 0.973729 0.000712632 10
2048 0 64 64 2.83265 1.16735	112.344 0.974191 0.000361347 10
2048 0 64 64 2.85714 1.14286	115.403 0.975475 0.000418222 9
2048 0 64 64 2.88163 1.11837	118.004 0.975291 0.000666567 12
2048 0 64 64 2.90612 1.09388	121.383 0.977867 0.00037249 9
2048 0 64 64 2.93061 1.06939	124.396 0.978281 0.00051505 9
2048 0 64 64 2.9551 1.0449	126.067 0.979151 0.000465968 10
2048 0 64 64 2.97959 1.02041	130.524 0.981053 0.000471007 9
2048 0 64 64 3.00408 0.995918	134.172 0.980773 0.000462017 9
2048 0 64 64 3.02857 0.971429	136.597 0.982245 0.000437539 8
2048 0 64 64 3.05306 0.946939	140.063 0.983199 0.000716138 8
2048 0 64 64 3.07755 0.922449	143.181 0.98395 0.000451765 9
2048 0 64 64 3.10204 0.897959	146.202 0.983596 0.000343877 9
2048 0 64 64 3.12653 0.873469	148.759 0.983496 0.000474726 7
2048 0 64 64 3.15102 0.84898	151.349 0.985395 0.000808847 9
2048 0 64 64 3.17551 0.82449	154.338 0.985806 0.000745991 8
2048 0 64 64 3.2 0.8	157.641 0.986232 0.000483683 7
2048 0 64 64 2 2	43.9089 0.0188869 0.000997258 1823
2048 0 64 64 2.02449 1.97551	43.836 0.0239487 0.00099914 2292
2048 0 64 64 2.04898 1.95102	43.8392 0.00153434 0.000999144 980
2048 0 64 64 2.07347 1.92653	44.2351 0.0124277 0.000991366 356
2048 0 64 64 2.09796 1.90204	43.8747 0.00742831 0.000981432 440
2048 0 64 64 2.12245 1.87755	43.7491 0.00714148 0.000999668 6138
2048 0 64 64 2.14694 1.85306	44.2273 0.00157898 0.00099675 1554
2048 0 64 64 2.17143 1.82857	44.3909 0.00390477 0.000994799 367
2048 0 64 64 2.19592 1.80408	44.8943 0.48284 0.000999526 379
2048 0 64 64 2.22041 1.77959	46.2715 0.660872 0.000997738 114
2048 0 64 64 2.2449 1.7551	47.5075 0.741279 0.000970921 88
2048 0 64 64 2.26939 1.73061	47.8715 0.754844 0.000958749 62
2048 0 64 64 2.29388 1.70612	50.742 0.782782 0.000978199 42
2048 0 64 64 2.31837 1.68163	52.4304 0.832938 0.000956458 35
2048 0 64 64 2.34286 1.65714	56.0872 0.867495 0.00086493 25
2048 0 64 64 2.36735 1.63265	57.9668 0.874625 0.000971924 22
2048 0 64 64 2.39184 1.60816	60.4258 0.899808 0.000863025 23
2048 0 64 64 2.41633 1.58367	62.9129 0.90714 0.000762305 20
2048 0 64 64 2.44082 1.55918	66.8494 0.924153 0.000782867 16
2048 0 64 64 2.46531 1.53469	67.9891 0.924891 0.000860306 18
2048 0 64 64 2.4898 1.5102	70.4339 0.93074 0.000695736 19
2048 0 64 64 2.51429 1.48571	73.5478 0.940914 0.00093574 15
2048 0 64 64 2.53878 1.46122	76.5083 0.944094 0.000800125 13
2048 0 64 64 2.56327 1.43673	78.7458 0.946066 0.000769884 12
2048 0 64 64 2.58776 1.41224	82.3322 0.950477 0.000662434 11
2048 0 64 64 2.61224 1.38776	84.9669 0.954161 0.000746587 12
2048 0 64 64 2.63673 1.36327	88.0587 0.957181 0.000548057 12
2048 0 64 64 2.66122 1.33878	90.7151 0.958857 0.000791399 12
2048 0 64 64 2.68571 1.31429	94.8953 0.963962 0.000784865 10
2048 0 64 64 2.7102 1.2898	96.4099 0.964553 0.000868505 12
2048 0 64 64 2.73469 1.26531	98.5025 0.967143 0.000754629 11
2048 0 64 64 2.75918 1.24082	103.806 0.972252 0.000616933 11
