2048 1 64 64 1 1	31.9262 0.00434492 0.000999448 2992
2048 1 64 64 1.01224 0.987755	31.8968 0.0352904 0.000999712 15098
2048 1 64 64 1.02449 0.97551	31.9851 0.0165514 0.000995035 505
2048 1 64 64 1.03673 0.963265	32.0076 0.021107 0.000998265 861
2048 1 64 64 1.04898 0.95102	31.993 0.00824255 0.0768911 100000
2048 1 64 64 1.06122 0.938776	31.8492 0.0244177 0.000996472 1325
2048 1 64 64 1.07347 0.926531	31.7341 0.0226942 0.00099761 1391
2048 1 64 64 1.08571 0.914286	32.031 0.0171528 0.000996227 1163
2048 1 64 64 1.09796 0.902041	32.0088 0.0140117 0.000999678 1259
2048 1 64 64 1.1102 0.889796	31.8435 0.201817 0.000789737 1676
2048 1 64 64 1.12245 0.877551	31.8788 0.0966053 0.000885371 3282
2048 1 64 64 1.13469 0.865306	32.2126 0.0234146 0.000999131 957
2048 1 64 64 1.14694 0.853061	32.0516 0.328282 0.000999402 762
2048 1 64 64 1.15918 0.840816	32.341 0.581237 0.000997035 330
2048 1 64 64 1.17143 0.828571	33.4871 0.648995 0.000990891 144
2048 1 64 64 1.18367 0.816327	33.8443 0.695597 0.000959375 107
2048 1 64 64 1.19592 0.804082	35.1441 0.752669 0.000944195 60
2048 1 64 64 1.20816 0.791837	36.0932 0.788705 0.000961655 46
2048 1 64 64 1.22041 0.779592	37.3764 0.809387 0.000999073 46
2048 1 64 64 1.23265 0.767347	38.2798 0.835024 0.000942095 32
2048 1 64 64 1.2449 0.755102	40.1217 0.85258 0.000934273 34
2048 1 64 64 1.25714 0.742857	40.7429 0.869298 0.000976944 23
2048 1 64 64 1.26939 0.730612	41.9061 0.892331 0.000810538 35
2048 1 64 64 1.28163 0.718367	43.0776 0.888824 0.000865329 25
2048 1 64 64 1.29388 0.706122	44.6904 0.900777 0.00071939 24
2048 1 64 64 1.30612 0.693878	45.5337 0.90633 0.000975606 23
2048 1 64 64 1.31837 0.681633	46.1508 0.905296 0.000866664 24
2048 1 64 64 1.33061 0.669388	48.5045 0.917367 0.000760143 15
2048 1 64 64 1.34286 0.657143	50.2599 0.926008 0.000822647 16
2048 1 64 64 1.3551 0.644898	50.9315 0.930236 0.000913003 14
2048 1 64 64 1.36735 0.632653	52.2868 0.9342 0.000715824 14
2048 1 64 64 1.37959 0.620408	53.8865 0.936773 0.000696876 13
2048 1 64 64 1.39184 0.608163	55.1982 0.941629 0.000631184 15
2048 1 64 64 1.40408 0.595918	57.1698 0.945553 0.000533686 15
2048 1 64 64 1.41633 0.583673	59.1679 0.944122 0.000982327 14
2048 1 64 64 1.42857 0.571429	60.541 0.954721 0.000969965 13
2048 1 64 64 1.44082 0.559184	61.6343 0.950872 0.000929912 11
2048 1 64 64 1.45306 0.546939	63.6004 0.956477 0.000859268 12
2048 1 64 64 1.46531 0.534694	63.6864 0.959618 0.000787358 13
2048 1 64 64 1.47755 0.522449	64.9858 0.960471 0.0007212 10
2048 1 64 64 1.4898 0.510204	66.9263 0.962397 0.000925006 10
2048 1 64 64 1.50204 0.497959	69.7933 0.962739 0.000939658 9
2048 1 64 64 1.51429 0.485714	70.1187 0.963522 0.000560162 10
2048 1 64 64 1.52653 0.473469	71.86 0.964715 0.000390885 11
2048 1 64 64 1.53878 0.461224	72.4 0.968681 0.000643561 11
2048 1 64 64 1.55102 0.44898	74.2461 0.96889 0.000424268 10
2048 1 64 64 1.56327 0.436735	76.0128 0.97045 0.000517729 11
2048 1 64 64 1.57551 0.42449	77.1262 0.969679 0.000631939 9
2048 1 64 64 1.58776 0.412245	78.5645 0.973386 0.000569599 10
2048 1 64 64 1.6 0.4	80.8547 0.97301 0.000796093 9
2048 1 64 64 1 1	31.7493 0.0239118 0.000999386 3979
2048 1 64 64 1.01224 0.987755	31.8215 0.0152586 0.000994727 353
2048 1 64 64 1.02449 0.97551	31.6259 0.0514151 0.000999968 15546
2048 1 64 64 1.03673 0.963265	31.8779 0.0212989 0.000999886 20020
