2048 4 64 64 0.5 0.5	22.4471 0.0049472 0.000999987 5692
2048 4 64 64 0.506122 0.493878	22.4291 0.00290597 0.000998851 1970
2048 4 64 64 0.512245 0.487755	22.4007 0.00623652 0.000995882 2040
2048 4 64 64 0.518367 0.481633	22.4092 0.00494805 0.000997671 1578
2048 4 64 64 0.52449 0.47551	22.4976 0.00871363 0.000998318 3164
2048 4 64 64 0.530612 0.469388	22.5224 0.0198247 0.000999245 2350
2048 4 64 64 0.536735 0.463265	22.5262 0.018378 0.000996266 1505
2048 4 64 64 0.542857 0.457143	22.5492 0.0148806 0.000997634 674
2048 4 64 64 0.54898 0.45102	22.5066 0.0139919 0.000998307 1294
2048 4 64 64 0.555102 0.444898	22.3783 0.0209188 0.000998309 2046
2048 4 64 64 0.561224 0.438776	22.3695 0.00436122 0.000999355 4696
2048 4 64 64 0.567347 0.432653	22.494 0.014574 0.000999189 3742
2048 4 64 64 0.573469 0.426531	22.5045 0.0209537 0.000998655 2259
2048 4 64 64 0.579592 0.420408	22.4735 0.0099299 0.000997419 788
2048 4 64 64 0.585714 0.414286	22.4733 0.00810077 0.00099406 621
2048 4 64 64 0.591837 0.408163	22.7769 0.488566 0.000993783 499
2048 4 64 64 0.597959 0.402041	22.6352 0.46259 0.000999256 1630
2048 4 64 64 0.604082 0.395918	22.8297 0.574014 0.000962979 194
2048 4 64 64 0.610204 0.389796	23.0399 0.583426 0.000988641 148
2048 4 64 64 0.616327 0.383673	23.3415 0.646059 0.000957878 130
2048 4 64 64 0.622449 0.377551	23.7797 0.704486 0.000942364 90
2048 4 64 64 0.628571 0.371429	23.9343 0.705137 0.000942963 80
2048 4 64 64 0.634694 0.365306	24.5758 0.745636 0.000942657 59
2048 4 64 64 0.640816 0.359184	24.7932 0.772458 0.000916784 63
2048 4 64 64 0.646939 0.353061	25.9027 0.801522 0.000900261 74
2048 4 64 64 0.653061 0.346939	25.918 0.818145 0.000980673 49
2048 4 64 64 0.659184 0.340816	26.9608 0.836963 0.000995334 33
2048 4 64 64 0.665306 0.334694	27.0464 0.853974 0.000967934 30
2048 4 64 64 0.671429 0.328571	27.1123 0.851759 0.000954381 30
2048 4 64 64 0.677551 0.322449	28.3848 0.873218 0.000736186 25
2048 4 64 64 0.683673 0.316327	28.3353 0.871032 0.000988492 25
2048 4 64 64 0.689796 0.310204	29.4335 0.884479 0.000983547 26
2048 4 64 64 0.695918 0.304082	29.9668 0.896708 0.000859783 20
2048 4 64 64 0.702041 0.297959	30.422 0.893201 0.000964945 19
2048 4 64 64 0.708163 0.291837	31.5513 0.911954 0.000813433 22
2048 4 64 64 0.714286 0.285714	31.8095 0.912883 0.000777637 17
2048 4 64 64 0.720408 0.279592	33.1836 0.92209 0.000684879 18
2048 4 64 64 0.726531 0.273469	34.0918 0.924047 0.000661523 17
2048 4 64 64 0.732653 0.267347	34.3993 0.921301 0.00061939 17
2048 4 64 64 0.738776 0.261224	34.5215 0.92995 0.000818108 14
2048 4 64 64 0.744898 0.255102	35.3142 0.929512 0.000804323 17
