2048 2 64 64 5 5	161.352 0.0219297 0.000999569 6968
2048 2 64.7837 63.2163 5 5	160.328 0.0209355 0.000999213 2660
2048 2 65.5673 62.4327 5 5	161.417 0.00110314 0.000995971 364
2048 2 66.351 61.649 5 5	161.511 0.0234819 0.000995382 605
2048 2 67.1347 60.8653 5 5	161.884 0.0341118 0.000994812 512
2048 2 67.9184 60.0816 5 5	160.087 0.0161394 0.000999402 1210
2048 2 68.702 59.298 5 5	159.644 0.00744109 0.000999521 1274
2048 2 69.4857 58.5143 5 5	161.08 0.0306692 0.000999995 973
2048 2 70.2694 57.7306 5 5	160.46 0.012884 0.000995541 794
2048 2 71.0531 56.9469 5 5	159.334 0.0217986 0.000995713 1555
2048 2 71.8367 56.1633 5 5	162.857 0.00471297 0.000991024 628
2048 2 72.6204 55.3796 5 5	162.453 0.426429 0.000999222 1778
2048 2 73.4041 54.5959 5 5	161.901 0.264887 0.000997651 1157
2048 2 74.1878 53.8122 5 5	164.433 0.59805 0.000991801 132
2048 2 74.9714 53.0286 5 5	169.453 0.64238 0.000977515 149
2048 2 75.7551 52.2449 5 5	175.006 0.74485 0.000967868 82
2048 2 76.5388 51.4612 5 5	175.543 0.761176 0.000949349 79
2048 2 77.3224 50.6776 5 5	181.104 0.795445 0.000874439 49
2048 2 78.1061 49.8939 5 5	179.477 0.790269 0.00097491 65
2048 2 78.8898 49.1102 5 5	187.782 0.824746 0.000826504 38
2048 2 79.6735 48.3265 5 5	199.339 0.862848 0.000911448 31
2048 2 80.4571 47.5429 5 5	205.842 0.876074 0.000977171 29
2048 2 81.2408 46.7592 5 5	209.352 0.886324 0.000710456 31
2048 2 82.0245 45.9755 5 5	216.022 0.895151 0.000656783 22
2048 2 82.8082 45.1918 5 5	221.542 0.901252 0.000900563 20
2048 2 83.5918 44.4082 5 5	231.369 0.914495 0.000703193 22
2048 2 84.3755 43.6245 5 5	233.882 0.919083 0.000782325 20
2048 2 85.1592 42.8408 5 5	243.646 0.922291 0.000930438 14
2048 2 85.9429 42.0571 5 5	248.191 0.929512 0.000651666 14
2048 2 86.7265 41.2735 5 5	254.474 0.936389 0.000633577 17
2048 2 87.5102 40.4898 5 5	263.566 0.933903 0.000699811 19
2048 2 88.2939 39.7061 5 5	268.924 0.942306 0.000545543 14
2048 2 89.0776 38.9224 5 5	273.461 0.946689 0.000545312 14
2048 2 89.8612 38.1388 5 5	282.363 0.948573 0.000653137 16
2048 2 90.6449 37.3551 5 5	292.605 0.954654 0.000639422 13
2048 2 91.4286 36.5714 5 5	290.845 0.953702 0.000762414 12
2048 2 92.2122 35.7878 5 5	302.758 0.959732 0.000805646 13
2048 2 92.9959 35.0041 5 5	311.047 0.959968 0.000987316 11
2048 2 93.7796 34.2204 5 5	316.85 0.963192 0.000582656 12
2048 2 94.5633 33.4367 5 5	325.135 0.965943 0.00055273 10
2048 2 95.3469 32.6531 5 5	331.667 0.966528 0.000386388 14
2048 2 96.1306 31.8694 5 5	339.527 0.968586 0.00060364 11
2048 2 96.9143 31.0857 5 5	345.907 0.971639 0.00068794 10
2048 2 97.698 30.302 5 5	361.484 0.971723 0.000281014 14
2048 2 98.4816 29.5184 5 5	363.881 0.972443 0.000803066 10
2048 2 99.2653 28.7347 5 5	367.638 0.973607 0.000521615 9
2048 2 100.049 27.951 5 5	376.556 0.974061 0.000496196 9
2048 2 100.833 27.1673 5 5	383.488 0.976594 0.000838651 9
2048 2 101.616 26.3837 5 5	390.398 0.976734 0.000335905 11
2048 2 102.4 25.6 5 5	400.633 0.978215 0.000660524 8
2048 2 64 64 5 5	161.358 0.0273468 0.000992422 406
2048 2 64.7837 63.2163 5 5	159.875 0.000989355 0.000998424 3171
2048 2 65.5673 62.4327 5 5	160.819 0.00221029 0.000991165 436
2048 2 66.351 61.649 5 5	161.852 0.0123276 0.000992079 463
2048 2 67.1347 60.8653 5 5	160.727 0.00538341 0.000996493 649
2048 2 67.9184 60.0816 5 5	161.331 0.0242971 0.000987744 584
2048 2 68.702 59.298 5 5	160.233 0.0101435 0.000999659 10807
2048 2 69.4857 58.5143 5 5	161.61 0.00478236 0.000999955 58382
2048 2 70.2694 57.7306 5 5	160.849 0.0120065 0.000997056 1393
2048 2 71.0531 56.9469 5 5	162.175 0.045367 0.000999623 744
2048 2 71.8367 56.1633 5 5	161.296 0.0205731 0.000990575 422
2048 2 72.6204 55.3796 5 5	161.094 0.00308522 0.000997729 957
2048 2 73.4041 54.5959 5 5	162.977 0.468977 0.000994944 832
2048 2 74.1878 53.8122 5 5	161.93 0.516866 0.000998189 673
2048 2 74.9714 53.0286 5 5	170.348 0.680491 0.000980977 113
2048 2 75.7551 52.2449 5 5	171.698 0.754772 0.000967341 94
2048 2 76.5388 51.4612 5 5	176.753 0.772142 0.000995985 57
2048 2 77.3224 50.6776 5 5	179.468 0.804266 0.000966495 71
2048 2 78.1061 49.8939 5 5	185.851 0.829395 0.000840308 46
2048 2 78.8898 49.1102 5 5	193.101 0.859233 0.000962556 42
2048 2 79.6735 48.3265 5 5	192.886 0.850562 0.000838377 37
2048 2 80.4571 47.5429 5 5	199.545 0.873413 0.000950894 33
2048 2 81.2408 46.7592 5 5	211.418 0.881334 0.000827125 20
2048 2 82.0245 45.9755 5 5	213.647 0.889125 0.000850063 24
2048 2 82.8082 45.1918 5 5	221.097 0.900228 0.000965759 29
2048 2 83.5918 44.4082 5 5	228.259 0.910791 0.000826671 19
2048 2 84.3755 43.6245 5 5	236.066 0.919548 0.000832333 18
2048 2 85.1592 42.8408 5 5	242.142 0.928599 0.000705001 17
2048 2 85.9429 42.0571 5 5	250.233 0.932443 0.000728365 19
2048 2 86.7265 41.2735 5 5	252.308 0.936536 0.000769229 15
2048 2 87.5102 40.4898 5 5	261.652 0.9397 0.000610839 20
2048 2 88.2939 39.7061 5 5	268.476 0.938822 0.000886716 19
2048 2 89.0776 38.9224 5 5	273.412 0.947364 0.000712175 13
2048 2 89.8612 38.1388 5 5	283.339 0.952707 0.000584621 15
2048 2 90.6449 37.3551 5 5	290.695 0.953848 0.000613558 12
2048 2 91.4286 36.5714 5 5	298.967 0.956282 0.000922648 11
2048 2 92.2122 35.7878 5 5	302.175 0.957557 0.000670548 12
2048 2 92.9959 35.0041 5 5	308.332 0.960135 0.000654584 14
2048 2 93.7796 34.2204 5 5	321.593 0.961824 0.000535703 13
2048 2 94.5633 33.4367 5 5	327.308 0.963851 0.000516372 11
2048 2 95.3469 32.6531 5 5	333.542 0.968296 0.000894734 11
2048 2 96.1306 31.8694 5 5	342.187 0.96703 0.000913611 10
2048 2 96.9143 31.0857 5 5	347.674 0.97157 0.000952439 9
2048 2 97.698 30.302 5 5	353.636 0.97159 0.000626588 10
2048 2 98.4816 29.5184 5 5	366.625 0.97044 0.000380107 10
2048 2 99.2653 28.7347 5 5	369.246 0.973859 0.0002548 11
2048 2 100.049 27.951 5 5	376.932 0.975369 0.000734935 9
2048 2 100.833 27.1673 5 5	387.168 0.976207 0.00050641 9
2048 2 101.616 26.3837 5 5	390.883 0.976369 0.000647081 11
2048 2 102.4 25.6 5 5	399.053 0.978988 0.000364982 9
2048 2 64 64 5 5	166.316 0.0302978 0.000999957 44821
2048 2 64.7837 63.2163 5 5	162.055 0.0247963 0.000982774 308
2048 2 65.5673 62.4327 5 5	161.099 0.00849124 0.000999759 11072
2048 2 66.351 61.649 5 5	160.849 0.0220533 0.000994729 744
2048 2 67.1347 60.8653 5 5	162.02 0.0288523 0.000998366 2146
2048 2 67.9184 60.0816 5 5	159.57 0.0269378 0.000999881 1068
2048 2 68.702 59.298 5 5	160.377 0.0170142 0.001 94285
2048 2 69.4857 58.5143 5 5	160.827 0.00743881 0.000989932 318
2048 2 70.2694 57.7306 5 5	159.206 0.00631662 0.000994005 661
2048 2 71.0531 56.9469 5 5	161.318 0.011033 0.00099875 1168
2048 2 71.8367 56.1633 5 5	160.938 0.0129789 0.000999322 4430
2048 2 72.6204 55.3796 5 5	163.293 0.00408006 0.000998517 1644
2048 2 73.4041 54.5959 5 5	161.322 0.490468 0.00099657 1011
2048 2 74.1878 53.8122 5 5	162.662 0.511149 0.000997494 2166
2048 2 74.9714 53.0286 5 5	168.65 0.705136 0.000961444 171
2048 2 75.7551 52.2449 5 5	175.562 0.747133 0.000975147 74
2048 2 76.5388 51.4612 5 5	176.031 0.774225 0.000994333 76
2048 2 77.3224 50.6776 5 5	176.659 0.783982 0.000975494 69
2048 2 78.1061 49.8939 5 5	184.929 0.822813 0.000912304 44
2048 2 78.8898 49.1102 5 5	188.778 0.835363 0.000990918 36
2048 2 79.6735 48.3265 5 5	197.621 0.854359 0.000819394 51
2048 2 80.4571 47.5429 5 5	201.667 0.870324 0.000819158 32
2048 2 81.2408 46.7592 5 5	210.239 0.892654 0.000968188 28
2048 2 82.0245 45.9755 5 5	214.16 0.89062 0.000632048 27
2048 2 82.8082 45.1918 5 5	222.541 0.907196 0.000816796 19
2048 2 83.5918 44.4082 5 5	230.263 0.912714 0.000878137 21
2048 2 84.3755 43.6245 5 5	233.479 0.917745 0.000831009 17
2048 2 85.1592 42.8408 5 5	241.576 0.923415 0.000938721 19
2048 2 85.9429 42.0571 5 5	246.278 0.933164 0.000898693 15
2048 2 86.7265 41.2735 5 5	256.64 0.935931 0.000644162 17
2048 2 87.5102 40.4898 5 5	262.847 0.93889 0.000518225 16
2048 2 88.2939 39.7061 5 5	264.699 0.945048 0.00062369 15
2048 2 89.0776 38.9224 5 5	273.714 0.948529 0.00065676 15
2048 2 89.8612 38.1388 5 5	276.867 0.950442 0.000684173 13
2048 2 90.6449 37.3551 5 5	293.515 0.953879 0.000930144 12
2048 2 91.4286 36.5714 5 5	297.049 0.956737 0.000623008 12
2048 2 92.2122 35.7878 5 5	304.938 0.958023 0.000545206 13
2048 2 92.9959 35.0041 5 5	310.508 0.961366 0.000825797 16
2048 2 93.7796 34.2204 5 5	319.852 0.964397 0.000739403 11
2048 2 94.5633 33.4367 5 5	328.042 0.964087 0.000501594 12
2048 2 95.3469 32.6531 5 5	333.791 0.966212 0.000388429 12
2048 2 96.1306 31.8694 5 5	341.357 0.97044 0.000669464 11
2048 2 96.9143 31.0857 5 5	350.832 0.970884 0.000427677 10
2048 2 97.698 30.302 5 5	356.435 0.970935 0.000770124 9
2048 2 98.4816 29.5184 5 5	364.601 0.972977 0.000705675 11
2048 2 99.2653 28.7347 5 5	362.849 0.974695 0.000689344 10
2048 2 100.049 27.951 5 5	378.749 0.973313 0.000508219 10
2048 2 100.833 27.1673 5 5	383.492 0.975285 0.000728487 9
2048 2 101.616 26.3837 5 5	391.757 0.978459 0.000870455 8
2048 2 102.4 25.6 5 5	398.678 0.977434 0.000559712 10
2048 2 64 64 5 5	163.538 0.0450136 0.000991263 516
2048 2 64.7837 63.2163 5 5	161.56 0.0104885 0.000997861 1458
2048 2 65.5673 62.4327 5 5	161.272 0.0176104 0.000997699 1173
2048 2 66.351 61.649 5 5	161.905 0.0188068 0.000980163 270
2048 2 67.1347 60.8653 5 5	160.375 0.0274162 0.00099986 12132
2048 2 67.9184 60.0816 5 5	162.611 0.000955164 0.000998174 366
2048 2 68.702 59.298 5 5	161.651 0.00238739 0.00099833 1980
2048 2 69.4857 58.5143 5 5	161.539 0.0199096 0.000996297 780
2048 2 70.2694 57.7306 5 5	162.967 0.0199559 0.000999166 414
2048 2 71.0531 56.9469 5 5	161.785 0.0473093 0.000994952 837
2048 2 71.8367 56.1633 5 5	160.819 0.00820036 0.00098637 479
2048 2 72.6204 55.3796 5 5	161.228 0.0210159 0.000997216 1855
2048 2 73.4041 54.5959 5 5	163.048 0.503698 0.000986944 297
2048 2 74.1878 53.8122 5 5	162.588 0.592058 0.000994628 331
2048 2 74.9714 53.0286 5 5	166.635 0.637971 0.000942335 123
2048 2 75.7551 52.2449 5 5	172.3 0.725824 0.000999332 99
2048 2 76.5388 51.4612 5 5	176.489 0.779864 0.000796008 64
2048 2 77.3224 50.6776 5 5	181.773 0.79313 0.000885459 62
2048 2 78.1061 49.8939 5 5	188.864 0.834138 0.000967957 50
2048 2 78.8898 49.1102 5 5	193.839 0.838457 0.000906277 38
2048 2 79.6735 48.3265 5 5	196.681 0.863941 0.00096614 35
2048 2 80.4571 47.5429 5 5	204.763 0.871308 0.000862649 46
2048 2 81.2408 46.7592 5 5	207.035 0.879692 0.000898459 28
2048 2 82.0245 45.9755 5 5	218.186 0.895435 0.000761087 19
2048 2 82.8082 45.1918 5 5	222.408 0.900405 0.000969393 20
2048 2 83.5918 44.4082 5 5	231.14 0.9065 0.000713788 24
2048 2 84.3755 43.6245 5 5	235.904 0.917883 0.00085333 18
2048 2 85.1592 42.8408 5 5	242.59 0.921326 0.000639875 16
