2048 3 64 64 50 50	1598.29 0.00569515 0.000999002 787
2048 3 64.7837 63.2163 50 50	1635.06 0.00645478 0.000995476 257
2048 3 65.5673 62.4327 50 50	1591.84 0.00773826 0.000997867 1498
2048 3 66.351 61.649 50 50	1604.33 0.0147038 0.000999711 5743
2048 3 67.1347 60.8653 50 50	1614.15 0.00950829 0.000991986 698
2048 3 67.9184 60.0816 50 50	1602.76 0.0116891 0.000998215 2034
2048 3 68.702 59.298 50 50	1607.24 0.00301869 0.00099361 449
2048 3 69.4857 58.5143 50 50	1596.52 0.0131064 0.000999216 1445
2048 3 70.2694 57.7306 50 50	1595.97 0.00411568 0.000995512 758
2048 3 71.0531 56.9469 50 50	1603.54 0.015435 0.000999364 1665
2048 3 71.8367 56.1633 50 50	1587.97 0.00228859 0.00098874 841
2048 3 72.6204 55.3796 50 50	1635.56 0.0216691 0.000997672 1467
2048 3 73.4041 54.5959 50 50	1604.86 0.489668 0.000987551 757
2048 3 74.1878 53.8122 50 50	1659.84 0.629912 0.000962062 173
2048 3 74.9714 53.0286 50 50	1676.6 0.69094 0.000943503 92
2048 3 75.7551 52.2449 50 50	1714.66 0.719176 0.000926699 102
2048 3 76.5388 51.4612 50 50	1743.02 0.776354 0.000839348 55
2048 3 77.3224 50.6776 50 50	1825.67 0.786905 0.000949024 58
2048 3 78.1061 49.8939 50 50	1844.26 0.822965 0.000918175 51
2048 3 78.8898 49.1102 50 50	1901.35 0.845967 0.000889089 54
2048 3 79.6735 48.3265 50 50	1981.39 0.860771 0.000988495 30
2048 3 80.4571 47.5429 50 50	2046.49 0.872246 0.000982813 34
2048 3 81.2408 46.7592 50 50	2063.21 0.887317 0.000786931 33
2048 3 82.0245 45.9755 50 50	2119.48 0.89859 0.000850268 24
2048 3 82.8082 45.1918 50 50	2226.89 0.905305 0.000690615 22
2048 3 83.5918 44.4082 50 50	2290.94 0.915816 0.000981776 19
2048 3 84.3755 43.6245 50 50	2318.19 0.920185 0.000628212 22
2048 3 85.1592 42.8408 50 50	2394.68 0.926424 0.000757934 18
2048 3 85.9429 42.0571 50 50	2507.3 0.932026 0.000960182 19
2048 3 86.7265 41.2735 50 50	2509.78 0.938741 0.000891044 17
2048 3 87.5102 40.4898 50 50	2624.05 0.941968 0.000594152 16
2048 3 88.2939 39.7061 50 50	2699.1 0.940801 0.000459273 13
2048 3 89.0776 38.9224 50 50	2767.92 0.950557 0.000669782 14
2048 3 89.8612 38.1388 50 50	2771.13 0.950733 0.000803301 13
2048 3 90.6449 37.3551 50 50	2916.12 0.953697 0.000981861 12
2048 3 91.4286 36.5714 50 50	2968.48 0.956247 0.000506831 16
2048 3 92.2122 35.7878 50 50	3040.26 0.960111 0.000903064 11
2048 3 92.9959 35.0041 50 50	3104.58 0.960193 0.000715282 11
2048 3 93.7796 34.2204 50 50	3173.53 0.965284 0.000508995 15
2048 3 94.5633 33.4367 50 50	3224.53 0.963322 0.00085417 14
2048 3 95.3469 32.6531 50 50	3303.73 0.967015 0.000651868 10
2048 3 96.1306 31.8694 50 50	3445.58 0.969106 0.000771447 12
2048 3 96.9143 31.0857 50 50	3482.43 0.97184 0.000553552 11
2048 3 97.698 30.302 50 50	3538.78 0.972711 0.000683506 10
