2048 0 64 64 50 50	1097.07 0.0503833 0.000994845 604
2048 0 64.7837 63.2163 50 50	1091.27 0.00533283 0.000999451 2966
2048 0 65.5673 62.4327 50 50	1095.02 0.00965448 0.0009986 5066
2048 0 66.351 61.649 50 50	1090.15 0.00120557 0.000989152 470
2048 0 67.1347 60.8653 50 50	1090.74 0.0102877 0.000996941 1161
2048 0 67.9184 60.0816 50 50	1095.23 0.126149 0.00099883 808
2048 0 68.702 59.298 50 50	1097.19 5.28582e-05 0.000999497 2753
2048 0 69.4857 58.5143 50 50	1097.1 0.378921 0.000998705 910
2048 0 70.2694 57.7306 50 50	1103 0.349733 0.000998884 1467
2048 0 71.0531 56.9469 50 50	1128.86 0.656039 0.000987374 133
2048 0 71.8367 56.1633 50 50	1168.86 0.705684 0.000977539 110
2048 0 72.6204 55.3796 50 50	1201.7 0.754004 0.00094512 68
2048 0 73.4041 54.5959 50 50	1250.95 0.803851 0.0009758 73
2048 0 74.1878 53.8122 50 50	1320.99 0.846614 0.00078264 32
2048 0 74.9714 53.0286 50 50	1380.06 0.861773 0.000802511 31
2048 0 75.7551 52.2449 50 50	1415.26 0.887234 0.000797103 21
2048 0 76.5388 51.4612 50 50	1486.7 0.900041 0.000785349 20
2048 0 77.3224 50.6776 50 50	1581.23 0.919027 0.000795553 18
2048 0 78.1061 49.8939 50 50	1588.26 0.921694 0.000878373 19
2048 0 78.8898 49.1102 50 50	1708.85 0.928028 0.000626107 16
2048 0 79.6735 48.3265 50 50	1758.67 0.93819 0.000590895 24
2048 0 80.4571 47.5429 50 50	1821.19 0.944109 0.000554302 17
2048 0 81.2408 46.7592 50 50	1888.86 0.947652 0.000532117 14
2048 0 82.0245 45.9755 50 50	1973.89 0.954395 0.000810353 11
2048 0 82.8082 45.1918 50 50	2055.58 0.957823 0.000490227 13
2048 0 83.5918 44.4082 50 50	2125.18 0.961249 0.00059438 11
2048 0 84.3755 43.6245 50 50	2180.95 0.963543 0.000653176 11
2048 0 85.1592 42.8408 50 50	2244.13 0.966586 0.00085498 10
2048 0 85.9429 42.0571 50 50	2327.66 0.968138 0.000795566 10
2048 0 86.7265 41.2735 50 50	2394.01 0.971539 0.000847378 11
2048 0 87.5102 40.4898 50 50	2492.86 0.974417 0.000710667 9
2048 0 88.2939 39.7061 50 50	2520.9 0.974787 0.000519687 12
2048 0 89.0776 38.9224 50 50	2617.57 0.975694 0.000837351 10
2048 0 89.8612 38.1388 50 50	2714.12 0.976147 0.000701446 10
2048 0 90.6449 37.3551 50 50	2772.27 0.979165 0.000403345 9
2048 0 91.4286 36.5714 50 50	2884.06 0.979635 0.000772757 9
2048 0 92.2122 35.7878 50 50	2919.24 0.981211 0.000412011 9
2048 0 92.9959 35.0041 50 50	2992.88 0.981883 0.000907928 7
2048 0 93.7796 34.2204 50 50	3091.49 0.983459 0.000345805 8
2048 0 94.5633 33.4367 50 50	3169.23 0.983978 0.000458901 10
2048 0 95.3469 32.6531 50 50	3252.12 0.984665 0.000592169 8
2048 0 96.1306 31.8694 50 50	3301.08 0.985162 0.000945178 7
2048 0 96.9143 31.0857 50 50	3386.69 0.985687 0.000306243 8
2048 0 97.698 30.302 50 50	3449.91 0.986603 0.000467534 7
2048 0 98.4816 29.5184 50 50	3545.65 0.987187 0.000506883 7
2048 0 99.2653 28.7347 50 50	3596.31 0.988259 0.000644162 7
2048 0 100.049 27.951 50 50	3709.3 0.989127 0.000673451 10
2048 0 100.833 27.1673 50 50	3763.76 0.98861 0.000996714 7
2048 0 101.616 26.3837 50 50	3826.09 0.9893 0.000726006 8
2048 0 102.4 25.6 50 50	3935.55 0.990099 0.000905053 7
2048 0 64 64 50 50	1090.05 0.025605 0.000999879 7401
2048 0 64.7837 63.2163 50 50	1103.12 0.000718357 0.000996149 369
2048 0 65.5673 62.4327 50 50	1104.77 0.00435622 0.000993073 957
2048 0 66.351 61.649 50 50	1093.9 0.0252019 0.000999785 5648
2048 0 67.1347 60.8653 50 50	1094.05 0.00115013 0.000997092 1328
2048 0 67.9184 60.0816 50 50	1102.32 0.0302149 0.000973245 414
2048 0 68.702 59.298 50 50	1094.37 0.00689905 0.000998258 782
2048 0 69.4857 58.5143 50 50	1098.02 0.0377462 0.000999264 2058
2048 0 70.2694 57.7306 50 50	1104.95 0.550463 0.000990027 405
2048 0 71.0531 56.9469 50 50	1125.54 0.613296 0.000986912 171
2048 0 71.8367 56.1633 50 50	1161.78 0.740374 0.000887828 87
2048 0 72.6204 55.3796 50 50	1211.9 0.783283 0.00096058 60
2048 0 73.4041 54.5959 50 50	1276.99 0.827557 0.000960591 37
2048 0 74.1878 53.8122 50 50	1319.4 0.842411 0.000979644 44
2048 0 74.9714 53.0286 50 50	1364.02 0.866782 0.000913565 29
2048 0 75.7551 52.2449 50 50	1436.13 0.879399 0.000892595 19
2048 0 76.5388 51.4612 50 50	1501.61 0.90627 0.000877075 19
2048 0 77.3224 50.6776 50 50	1549.92 0.908075 0.000912846 18
2048 0 78.1061 49.8939 50 50	1611.03 0.92282 0.000782619 18
2048 0 78.8898 49.1102 50 50	1700.45 0.932251 0.000992116 18
2048 0 79.6735 48.3265 50 50	1752.45 0.939943 0.000695021 15
2048 0 80.4571 47.5429 50 50	1803.85 0.94173 0.00075557 13
2048 0 81.2408 46.7592 50 50	1887.4 0.949217 0.000883219 13
2048 0 82.0245 45.9755 50 50	1967.69 0.95427 0.000922185 12
2048 0 82.8082 45.1918 50 50	2018.57 0.957352 0.000818089 13
2048 0 83.5918 44.4082 50 50	2112.36 0.960191 0.00077378 16
2048 0 84.3755 43.6245 50 50	2193.92 0.964278 0.000701732 10
2048 0 85.1592 42.8408 50 50	2278.03 0.966424 0.000471668 10
2048 0 85.9429 42.0571 50 50	2323.65 0.967975 0.000872805 10
2048 0 86.7265 41.2735 50 50	2397.49 0.970833 0.000580337 9
2048 0 87.5102 40.4898 50 50	2493.52 0.972234 0.00097895 10
2048 0 88.2939 39.7061 50 50	2544.85 0.972349 0.000646889 8
2048 0 89.0776 38.9224 50 50	2611.45 0.975403 0.000400352 9
2048 0 89.8612 38.1388 50 50	2693.62 0.978404 0.000546176 8
2048 0 90.6449 37.3551 50 50	2783.34 0.977675 0.000601039 9
2048 0 91.4286 36.5714 50 50	2850.97 0.978928 0.000531757 8
2048 0 92.2122 35.7878 50 50	2918.88 0.980588 0.000371025 9
2048 0 92.9959 35.0041 50 50	2961.59 0.981298 0.000783556 9
2048 0 93.7796 34.2204 50 50	3076.76 0.98397 0.000478082 8
2048 0 94.5633 33.4367 50 50	3127.82 0.984599 0.000615139 8
2048 0 95.3469 32.6531 50 50	3246.13 0.984412 0.000509623 8
2048 0 96.1306 31.8694 50 50	3304.16 0.985225 0.000868645 7
2048 0 96.9143 31.0857 50 50	3397.56 0.986542 0.000362087 10
2048 0 97.698 30.302 50 50	3448.54 0.987202 0.000955078 7
2048 0 98.4816 29.5184 50 50	3504 0.987695 0.000402703 7
2048 0 99.2653 28.7347 50 50	3569.05 0.988042 0.000362429 8
2048 0 100.049 27.951 50 50	3685.73 0.988324 0.000300356 7
2048 0 100.833 27.1673 50 50	3795.36 0.988998 0.000349203 8
2048 0 101.616 26.3837 50 50	3845.05 0.989165 0.00065621 6
2048 0 102.4 25.6 50 50	3931.63 0.99028 0.000402149 7
2048 0 64 64 50 50	1094.85 0.0264305 0.000997014 1509
2048 0 64.7837 63.2163 50 50	1096.32 0.00453337 0.000999566 5279
2048 0 65.5673 62.4327 50 50	1096.47 0.033647 0.000999159 5286
2048 0 66.351 61.649 50 50	1101.17 0.0123084 0.000998931 5562
2048 0 67.1347 60.8653 50 50	1094.23 0.0210167 0.000994462 882
2048 0 67.9184 60.0816 50 50	1102.58 0.0046856 0.000996463 1128
2048 0 68.702 59.298 50 50	1091.19 0.000471766 0.000999146 2458
2048 0 69.4857 58.5143 50 50	1101.46 0.00491218 0.000980939 483
2048 0 70.2694 57.7306 50 50	1100.42 0.410686 0.000999544 1068
2048 0 71.0531 56.9469 50 50	1115.07 0.619529 0.000986495 316
2048 0 71.8367 56.1633 50 50	1164.29 0.755684 0.000955139 114
2048 0 72.6204 55.3796 50 50	1208.92 0.778034 0.000981913 58
2048 0 73.4041 54.5959 50 50	1277.87 0.818215 0.000876543 48
2048 0 74.1878 53.8122 50 50	1302.2 0.846883 0.000765212 37
2048 0 74.9714 53.0286 50 50	1356.22 0.856453 0.000785951 36
