2048 1 64 64 5 5	120.562 0.0152551 0.0009963 728
2048 1 64.7837 63.2163 5 5	120.532 0.000586324 0.000999588 5380
2048 1 65.5673 62.4327 5 5	121.002 0.0100408 0.000999809 2781
2048 1 66.351 61.649 5 5	121.44 0.0164581 0.00099589 1399
2048 1 67.1347 60.8653 5 5	120.767 0.0184663 0.000999263 6930
2048 1 67.9184 60.0816 5 5	121.476 0.0255738 0.000999134 338
2048 1 68.702 59.298 5 5	122.494 0.000786696 0.000962847 251
2048 1 69.4857 58.5143 5 5	120.579 0.0174834 0.000996149 1946
2048 1 70.2694 57.7306 5 5	121.602 0.457732 0.000999486 1149
2048 1 71.0531 56.9469 5 5	121.166 0.52445 0.000995042 772
2048 1 71.8367 56.1633 5 5	122.889 0.544638 0.000983935 294
2048 1 72.6204 55.3796 5 5	127.563 0.710643 0.000953695 110
2048 1 73.4041 54.5959 5 5	128.343 0.744601 0.000977038 95
2048 1 74.1878 53.8122 5 5	136.808 0.799025 0.000978842 40
2048 1 74.9714 53.0286 5 5	144.639 0.837055 0.000839299 55
2048 1 75.7551 52.2449 5 5	149.462 0.860307 0.000860726 37
2048 1 76.5388 51.4612 5 5	153.528 0.872112 0.000840596 26
2048 1 77.3224 50.6776 5 5	159.212 0.887706 0.000890533 24
2048 1 78.1061 49.8939 5 5	164.41 0.902366 0.000675215 23
2048 1 78.8898 49.1102 5 5	174.937 0.919248 0.000874393 20
2048 1 79.6735 48.3265 5 5	180.977 0.915311 0.000926227 14
2048 1 80.4571 47.5429 5 5	188.044 0.928273 0.000747391 14
2048 1 81.2408 46.7592 5 5	192.66 0.935416 0.000804676 14
2048 1 82.0245 45.9755 5 5	198.722 0.941182 0.000739676 14
2048 1 82.8082 45.1918 5 5	209.446 0.94603 0.00084758 13
2048 1 83.5918 44.4082 5 5	216.768 0.952051 0.00066337 13
2048 1 84.3755 43.6245 5 5	219.473 0.956698 0.000845751 11
2048 1 85.1592 42.8408 5 5	230.108 0.960366 0.000509349 13
2048 1 85.9429 42.0571 5 5	235.529 0.962324 0.000523637 13
2048 1 86.7265 41.2735 5 5	243.537 0.963387 0.000707575 10
2048 1 87.5102 40.4898 5 5	250.733 0.967813 0.000418207 11
2048 1 88.2939 39.7061 5 5	259.982 0.969014 0.000886049 10
2048 1 89.0776 38.9224 5 5	265.085 0.970496 0.000559048 10
2048 1 89.8612 38.1388 5 5	271.619 0.970933 0.000887789 9
