2048 4 64 64 0.5 0.5	22.4688 0.00839606 0.00099908 864
2048 4 64.7837 63.2163 0.5 0.5	22.3506 0.0340025 0.000998949 5111
2048 4 65.5673 62.4327 0.5 0.5	22.6267 0.0120981 0.000988231 627
2048 4 66.351 61.649 0.5 0.5	22.4136 0.0356556 0.000997571 2096
2048 4 67.1347 60.8653 0.5 0.5	22.4586 0.0151519 0.000999997 15858
2048 4 67.9184 60.0816 0.5 0.5	22.3915 0.00473317 0.00099938 1906
2048 4 68.702 59.298 0.5 0.5	22.4208 0.00985481 0.000999328 4127
2048 4 69.4857 58.5143 0.5 0.5	22.4662 0.0089535 0.000999944 3059
2048 4 70.2694 57.7306 0.5 0.5	22.5203 0.0115825 0.000984559 566
2048 4 71.0531 56.9469 0.5 0.5	22.4895 0.0310587 0.000999747 16935
2048 4 71.8367 56.1633 0.5 0.5	22.4752 0.00195822 0.000990361 771
2048 4 72.6204 55.3796 0.5 0.5	22.4773 0.00197904 0.00099525 916
2048 4 73.4041 54.5959 0.5 0.5	22.5563 0.00777271 0.000999571 1539
2048 4 74.1878 53.8122 0.5 0.5	22.5815 0.0911935 0.000999464 6616
2048 4 74.9714 53.0286 0.5 0.5	22.5014 0.019803 0.000992971 1020
2048 4 75.7551 52.2449 0.5 0.5	22.4987 0.00883322 0.000991773 601
2048 4 76.5388 51.4612 0.5 0.5	22.6488 0.537795 0.00098832 565
2048 4 77.3224 50.6776 0.5 0.5	22.6821 0.550694 0.000998013 590
2048 4 78.1061 49.8939 0.5 0.5	22.8574 0.559461 0.000992761 266
2048 4 78.8898 49.1102 0.5 0.5	23.29 0.670839 0.000962156 117
2048 4 79.6735 48.3265 0.5 0.5	23.6214 0.700212 0.000969364 151
2048 4 80.4571 47.5429 0.5 0.5	24.4279 0.736821 0.000923675 64
2048 4 81.2408 46.7592 0.5 0.5	24.4618 0.770842 0.000974467 61
2048 4 82.0245 45.9755 0.5 0.5	24.8802 0.770634 0.000916126 83
2048 4 82.8082 45.1918 0.5 0.5	25.5475 0.781446 0.000859996 47
2048 4 83.5918 44.4082 0.5 0.5	26.154 0.816637 0.000883127 44
2048 4 84.3755 43.6245 0.5 0.5	26.1551 0.835142 0.000959945 42
2048 4 85.1592 42.8408 0.5 0.5	27.2161 0.848611 0.000842494 37
2048 4 85.9429 42.0571 0.5 0.5	27.2674 0.859506 0.000979941 34
2048 4 86.7265 41.2735 0.5 0.5	28.4325 0.87252 0.000818234 29
2048 4 87.5102 40.4898 0.5 0.5	28.5672 0.881333 0.00098524 35
2048 4 88.2939 39.7061 0.5 0.5	29.8626 0.882441 0.000773999 20
2048 4 89.0776 38.9224 0.5 0.5	30.5449 0.89278 0.000837828 20
2048 4 89.8612 38.1388 0.5 0.5	30.7436 0.897631 0.000929177 22
2048 4 90.6449 37.3551 0.5 0.5	31.4931 0.908283 0.000658665 20
2048 4 91.4286 36.5714 0.5 0.5	32.1818 0.913716 0.000978267 17
2048 4 92.2122 35.7878 0.5 0.5	32.2671 0.914573 0.000823489 18
2048 4 92.9959 35.0041 0.5 0.5	33.5331 0.920895 0.000843924 26
2048 4 93.7796 34.2204 0.5 0.5	33.9196 0.925864 0.000764197 16
2048 4 94.5633 33.4367 0.5 0.5	34.9227 0.932229 0.000954292 14
2048 4 95.3469 32.6531 0.5 0.5	35.1096 0.933497 0.000786719 15
2048 4 96.1306 31.8694 0.5 0.5	36.4261 0.940804 0.000838628 15
2048 4 96.9143 31.0857 0.5 0.5	36.1963 0.941589 0.000629295 16
2048 4 97.698 30.302 0.5 0.5	37.8431 0.944069 0.000972642 14
2048 4 98.4816 29.5184 0.5 0.5	38.1948 0.945828 0.000666753 14
2048 4 99.2653 28.7347 0.5 0.5	38.6302 0.945888 0.000909073 18
2048 4 100.049 27.951 0.5 0.5	39.1532 0.951181 0.00084648 12
2048 4 100.833 27.1673 0.5 0.5	40.1812 0.953459 0.000888764 11
2048 4 101.616 26.3837 0.5 0.5	41.0069 0.953537 0.000915229 12
2048 4 102.4 25.6 0.5 0.5	41.6953 0.956841 0.000813928 16
2048 4 64 64 0.5 0.5	22.5693 0.00580313 0.000997678 605
2048 4 64.7837 63.2163 0.5 0.5	22.4623 0.00142971 0.000998942 2618
2048 4 65.5673 62.4327 0.5 0.5	22.4844 0.00446103 0.000997817 651
2048 4 66.351 61.649 0.5 0.5	22.4513 0.00312551 0.000990774 651
2048 4 67.1347 60.8653 0.5 0.5	22.5175 0.0233975 0.000997697 1108
2048 4 67.9184 60.0816 0.5 0.5	22.4087 0.00830407 0.000987745 643
2048 4 68.702 59.298 0.5 0.5	22.4814 0.0122044 0.00098816 619
2048 4 69.4857 58.5143 0.5 0.5	22.5255 0.00475139 0.000999424 5384
2048 4 70.2694 57.7306 0.5 0.5	22.4349 0.00726939 0.000997166 1595
2048 4 71.0531 56.9469 0.5 0.5	22.4693 0.0117457 0.00099593 938
2048 4 71.8367 56.1633 0.5 0.5	22.3939 0.00882457 0.000998218 1276
2048 4 72.6204 55.3796 0.5 0.5	22.5497 0.157616 0.000994145 425
2048 4 73.4041 54.5959 0.5 0.5	22.3361 0.0079203 0.000999061 1247
2048 4 74.1878 53.8122 0.5 0.5	22.3409 0.0892527 0.000999892 15091
2048 4 74.9714 53.0286 0.5 0.5	22.5779 0.138866 0.000994437 561
2048 4 75.7551 52.2449 0.5 0.5	22.692 0.293505 0.000993695 343
2048 4 76.5388 51.4612 0.5 0.5	22.5418 0.410602 0.00099898 2072
2048 4 77.3224 50.6776 0.5 0.5	22.8334 0.493079 0.000999455 277
2048 4 78.1061 49.8939 0.5 0.5	23.0628 0.57211 0.000994878 177
2048 4 78.8898 49.1102 0.5 0.5	23.3036 0.65493 0.000971206 120
2048 4 79.6735 48.3265 0.5 0.5	23.2145 0.687737 0.000974603 206
2048 4 80.4571 47.5429 0.5 0.5	24.1547 0.732816 0.000921459 67
2048 4 81.2408 46.7592 0.5 0.5	23.8659 0.711451 0.000977717 110
2048 4 82.0245 45.9755 0.5 0.5	25.3246 0.776812 0.000949464 51
2048 4 82.8082 45.1918 0.5 0.5	25.1163 0.805443 0.000968738 61
2048 4 83.5918 44.4082 0.5 0.5	25.8814 0.826401 0.000981201 41
2048 4 84.3755 43.6245 0.5 0.5	26.8143 0.83126 0.000828956 34
2048 4 85.1592 42.8408 0.5 0.5	27.1223 0.843032 0.000979462 35
2048 4 85.9429 42.0571 0.5 0.5	27.9205 0.862581 0.000856877 27
2048 4 86.7265 41.2735 0.5 0.5	28.5346 0.876101 0.000864522 26
2048 4 87.5102 40.4898 0.5 0.5	28.9226 0.881521 0.000890336 42
2048 4 88.2939 39.7061 0.5 0.5	29.5816 0.88749 0.000823871 22
2048 4 89.0776 38.9224 0.5 0.5	29.5504 0.891465 0.000870844 23
2048 4 89.8612 38.1388 0.5 0.5	30.1573 0.898779 0.000820138 25
2048 4 90.6449 37.3551 0.5 0.5	31.6121 0.909774 0.000915681 19
2048 4 91.4286 36.5714 0.5 0.5	31.906 0.908624 0.000827206 20
2048 4 92.2122 35.7878 0.5 0.5	32.8866 0.9192 0.00075007 17
2048 4 92.9959 35.0041 0.5 0.5	33.8384 0.926328 0.000684379 20
2048 4 93.7796 34.2204 0.5 0.5	33.6396 0.928011 0.00071404 18
2048 4 94.5633 33.4367 0.5 0.5	34.7478 0.92788 0.000649203 16
2048 4 95.3469 32.6531 0.5 0.5	35.2677 0.930685 0.00063728 22
2048 4 96.1306 31.8694 0.5 0.5	36.8806 0.939684 0.000869115 22
2048 4 96.9143 31.0857 0.5 0.5	36.4213 0.935808 0.000885102 14
2048 4 97.698 30.302 0.5 0.5	37.1879 0.944588 0.000601156 15
2048 4 98.4816 29.5184 0.5 0.5	37.9504 0.946309 0.000732336 14
2048 4 99.2653 28.7347 0.5 0.5	39.1355 0.949296 0.000775465 13
2048 4 100.049 27.951 0.5 0.5	39.968 0.949429 0.000732218 11
2048 4 100.833 27.1673 0.5 0.5	40.1202 0.95352 0.000857021 11
2048 4 101.616 26.3837 0.5 0.5	40.7721 0.953332 0.000878678 13
2048 4 102.4 25.6 0.5 0.5	41.5097 0.953392 0.000520187 11
2048 4 64 64 0.5 0.5	22.3748 0.0272332 0.000997142 1756
2048 4 64.7837 63.2163 0.5 0.5	22.2818 0.00864774 0.000999976 6195
2048 4 65.5673 62.4327 0.5 0.5	22.42 0.0116311 0.000996179 742
2048 4 66.351 61.649 0.5 0.5	22.4649 0.00540248 0.000989056 516
2048 4 67.1347 60.8653 0.5 0.5	22.5145 0.0509807 0.000982666 322
2048 4 67.9184 60.0816 0.5 0.5	22.3263 0.0659818 0.001 20744
2048 4 68.702 59.298 0.5 0.5	22.575 0.0132673 0.000996859 422
2048 4 69.4857 58.5143 0.5 0.5	22.5964 0.00698022 0.000996618 1844
2048 4 70.2694 57.7306 0.5 0.5	22.469 0.0141658 0.00099837 681
2048 4 71.0531 56.9469 0.5 0.5	22.6088 0.0478439 0.000997919 586
2048 4 71.8367 56.1633 0.5 0.5	22.4286 0.027041 0.0009994 899
2048 4 72.6204 55.3796 0.5 0.5	22.482 0.126743 0.000999734 444
2048 4 73.4041 54.5959 0.5 0.5	22.588 0.00925876 0.000992454 702
2048 4 74.1878 53.8122 0.5 0.5	22.4149 0.00509227 0.000999843 3937
2048 4 74.9714 53.0286 0.5 0.5	22.5613 0.264046 0.000998111 907
2048 4 75.7551 52.2449 0.5 0.5	22.4991 0.0142904 0.000999802 2439
2048 4 76.5388 51.4612 0.5 0.5	22.6144 0.475703 0.000992002 761
2048 4 77.3224 50.6776 0.5 0.5	22.5224 0.52868 0.000999283 6035
2048 4 78.1061 49.8939 0.5 0.5	22.915 0.600047 0.000983263 392
2048 4 78.8898 49.1102 0.5 0.5	23.3575 0.686995 0.00096075 111
2048 4 79.6735 48.3265 0.5 0.5	23.6205 0.684611 0.000947199 122
2048 4 80.4571 47.5429 0.5 0.5	24.2377 0.729622 0.000943191 73
2048 4 81.2408 46.7592 0.5 0.5	24.8504 0.778333 0.000980325 59
2048 4 82.0245 45.9755 0.5 0.5	25.1893 0.782822 0.000948383 62
2048 4 82.8082 45.1918 0.5 0.5	25.5626 0.801242 0.000957696 51
2048 4 83.5918 44.4082 0.5 0.5	25.8998 0.818706 0.00098385 37
2048 4 84.3755 43.6245 0.5 0.5	26.2289 0.82554 0.000920456 34
2048 4 85.1592 42.8408 0.5 0.5	27.3561 0.849357 0.000916533 32
2048 4 85.9429 42.0571 0.5 0.5	28.0459 0.864355 0.000864635 30
2048 4 86.7265 41.2735 0.5 0.5	27.8491 0.860516 0.000881493 27
2048 4 87.5102 40.4898 0.5 0.5	28.149 0.873765 0.000957254 27
2048 4 88.2939 39.7061 0.5 0.5	30.0021 0.883633 0.000777935 20
2048 4 89.0776 38.9224 0.5 0.5	30.5096 0.895392 0.000963362 20
2048 4 89.8612 38.1388 0.5 0.5	30.5171 0.898488 0.000984349 25
2048 4 90.6449 37.3551 0.5 0.5	31.9442 0.910232 0.000714027 20
2048 4 91.4286 36.5714 0.5 0.5	32.2917 0.906396 0.000839471 18
2048 4 92.2122 35.7878 0.5 0.5	33.0259 0.917725 0.00080589 18
2048 4 92.9959 35.0041 0.5 0.5	33.6399 0.921499 0.00096154 14
2048 4 93.7796 34.2204 0.5 0.5	34.2927 0.928904 0.000869674 16
2048 4 94.5633 33.4367 0.5 0.5	34.2409 0.930671 0.000586045 17
2048 4 95.3469 32.6531 0.5 0.5	34.8799 0.934957 0.000686966 19
2048 4 96.1306 31.8694 0.5 0.5	36.1376 0.938047 0.000611784 31
2048 4 96.9143 31.0857 0.5 0.5	36.3252 0.93878 0.000658331 18
2048 4 97.698 30.302 0.5 0.5	36.8692 0.9458 0.000643093 14
2048 4 98.4816 29.5184 0.5 0.5	38.0122 0.944492 0.000837918 14
2048 4 99.2653 28.7347 0.5 0.5	38.8157 0.946207 0.000626106 16
2048 4 100.049 27.951 0.5 0.5	38.729 0.952985 0.000957627 15
2048 4 100.833 27.1673 0.5 0.5	40.3271 0.95116 0.000555863 14
2048 4 101.616 26.3837 0.5 0.5	41.5366 0.955112 0.000904524 19
2048 4 102.4 25.6 0.5 0.5	41.2679 0.953387 0.000740832 11
2048 4 64 64 0.5 0.5	22.4649 0.0113947 0.000999754 12138
2048 4 64.7837 63.2163 0.5 0.5	22.4156 0.00190277 0.000998826 3738
2048 4 65.5673 62.4327 0.5 0.5	22.4486 0.0343421 0.0087804 100000
2048 4 66.351 61.649 0.5 0.5	22.3603 0.00964863 0.00099958 1442
2048 4 67.1347 60.8653 0.5 0.5	22.4105 0.0516911 0.000999284 1100
2048 4 67.9184 60.0816 0.5 0.5	22.4844 0.00322252 0.000999391 1467
2048 4 68.702 59.298 0.5 0.5	22.5129 0.0106542 0.000998843 564
2048 4 69.4857 58.5143 0.5 0.5	22.4273 0.0171582 0.000998249 1735
2048 4 70.2694 57.7306 0.5 0.5	22.5145 0.00263308 0.000990548 389
2048 4 71.0531 56.9469 0.5 0.5	22.5152 0.0143174 0.00099989 976
2048 4 71.8367 56.1633 0.5 0.5	22.5291 0.0146893 0.000994993 857
2048 4 72.6204 55.3796 0.5 0.5	22.4306 0.00875291 0.000999933 2246
2048 4 73.4041 54.5959 0.5 0.5	22.3712 0.022521 0.0915326 100000
2048 4 74.1878 53.8122 0.5 0.5	22.5582 0.0262447 0.000992836 565
2048 4 74.9714 53.0286 0.5 0.5	22.4566 0.0885396 0.00099786 341
2048 4 75.7551 52.2449 0.5 0.5	22.5935 0.00318337 0.000999969 27740
2048 4 76.5388 51.4612 0.5 0.5	22.3928 0.00553722 0.000999874 41097
2048 4 77.3224 50.6776 0.5 0.5	22.8963 0.615589 0.000981274 210
2048 4 78.1061 49.8939 0.5 0.5	23.3164 0.611766 0.000989787 150
2048 4 78.8898 49.1102 0.5 0.5	23.1464 0.680222 0.00097607 181
2048 4 79.6735 48.3265 0.5 0.5	23.9622 0.7238 0.000959313 104
2048 4 80.4571 47.5429 0.5 0.5	24.2446 0.747958 0.000955865 107
2048 4 81.2408 46.7592 0.5 0.5	24.3083 0.752027 0.000979546 66
2048 4 82.0245 45.9755 0.5 0.5	25.2828 0.782706 0.000893732 45
2048 4 82.8082 45.1918 0.5 0.5	25.5576 0.796944 0.000974554 36
2048 4 83.5918 44.4082 0.5 0.5	25.9374 0.826187 0.000999347 51
2048 4 84.3755 43.6245 0.5 0.5	26.4845 0.83494 0.000920415 35
2048 4 85.1592 42.8408 0.5 0.5	27.7984 0.86348 0.000959807 27
2048 4 85.9429 42.0571 0.5 0.5	27.8109 0.864784 0.000943024 32
2048 4 86.7265 41.2735 0.5 0.5	28.4854 0.874293 0.000976336 24
2048 4 87.5102 40.4898 0.5 0.5	28.282 0.881623 0.000818915 30
2048 4 88.2939 39.7061 0.5 0.5	29.5246 0.877644 0.000959306 27
2048 4 89.0776 38.9224 0.5 0.5	30.1451 0.896501 0.000865437 20
2048 4 89.8612 38.1388 0.5 0.5	30.6434 0.90393 0.000857581 28
2048 4 90.6449 37.3551 0.5 0.5	31.7201 0.909479 0.000876366 18
2048 4 91.4286 36.5714 0.5 0.5	32.2309 0.911886 0.000864858 21
2048 4 92.2122 35.7878 0.5 0.5	32.4969 0.914614 0.000866992 17
2048 4 92.9959 35.0041 0.5 0.5	33.4397 0.92446 0.000917756 17
2048 4 93.7796 34.2204 0.5 0.5	33.8358 0.921976 0.000785593 16
2048 4 94.5633 33.4367 0.5 0.5	34.7039 0.928462 0.000775081 16
2048 4 95.3469 32.6531 0.5 0.5	35.3782 0.932474 0.000658829 15
2048 4 96.1306 31.8694 0.5 0.5	36.117 0.932222 0.000879426 23
2048 4 96.9143 31.0857 0.5 0.5	36.2967 0.938172 0.000763786 14
2048 4 97.698 30.302 0.5 0.5	37.5794 0.942798 0.000911356 12
2048 4 98.4816 29.5184 0.5 0.5	37.3748 0.937417 0.000837122 13
2048 4 99.2653 28.7347 0.5 0.5	38.7854 0.948848 0.000662132 15
2048 4 100.049 27.951 0.5 0.5	39.833 0.950155 0.00079555 15
2048 4 100.833 27.1673 0.5 0.5	40.2414 0.954067 0.000781208 12
2048 4 101.616 26.3837 0.5 0.5	40.7623 0.95503 0.00098745 11
2048 4 102.4 25.6 0.5 0.5	41.5216 0.954774 0.000461677 14
